RUN	simulations.FixedDurationLoadSimulation	fixeddurationloadsimulation	1586359615487	 	3.3.1
REQUEST	36		Get all video games	1586359647071	1586359647074	OK	 
REQUEST	45		Get specific game	1586359647077	1586359647081	OK	 
REQUEST	28		Get specific game	1586359647087	1586359647091	OK	 
REQUEST	20		Get all video games	1586359647098	1586359647102	OK	 
REQUEST	20		Get all video games	1586359647103	1586359647106	OK	 
USER	Fixed Duration Load Simulation	54	START	1586359647558	1586359647558
REQUEST	54		Get all video games	1586359647558	1586359647566	OK	 
REQUEST	37		Get all video games	1586359647598	1586359647602	OK	 
REQUEST	29		Get specific game	1586359647598	1586359647604	OK	 
REQUEST	37		Get all video games	1586359647603	1586359647607	OK	 
REQUEST	11		Get specific game	1586359647613	1586359647617	OK	 
REQUEST	1		Get specific game	1586359647634	1586359647639	OK	 
REQUEST	10		Get specific game	1586359647774	1586359647778	OK	 
REQUEST	5		Get specific game	1586359647817	1586359647824	OK	 
REQUEST	8		Get specific game	1586359647869	1586359647876	OK	 
REQUEST	2		Get specific game	1586359647884	1586359647890	OK	 
USER	Fixed Duration Load Simulation	55	START	1586359648053	1586359648053
REQUEST	55		Get all video games	1586359648054	1586359648058	OK	 
REQUEST	38		Get all video games	1586359648086	1586359648089	OK	 
REQUEST	46		Get specific game	1586359648086	1586359648090	OK	 
REQUEST	38		Get all video games	1586359648090	1586359648093	OK	 
REQUEST	30		Get specific game	1586359648096	1586359648102	OK	 
REQUEST	21		Get all video games	1586359648096	1586359648102	OK	 
REQUEST	21		Get all video games	1586359648103	1586359648107	OK	 
REQUEST	3		Get specific game	1586359648205	1586359648210	OK	 
REQUEST	6		Get specific game	1586359648205	1586359648210	OK	 
REQUEST	7		Get specific game	1586359648216	1586359648221	OK	 
REQUEST	4		Get specific game	1586359648226	1586359648231	OK	 
REQUEST	13		Get specific game	1586359648248	1586359648252	OK	 
REQUEST	9		Get specific game	1586359648248	1586359648252	OK	 
REQUEST	12		Get specific game	1586359648258	1586359648261	OK	 
REQUEST	47		Get specific game	1586359648558	1586359648561	OK	 
REQUEST	39		Get all video games	1586359648583	1586359648588	OK	 
REQUEST	22		Get all video games	1586359648583	1586359648588	OK	 
REQUEST	22		Get all video games	1586359648588	1586359648591	OK	 
REQUEST	39		Get all video games	1586359648588	1586359648592	OK	 
REQUEST	14		Get specific game	1586359648695	1586359648699	OK	 
USER	Fixed Duration Load Simulation	56	START	1586359649057	1586359649057
REQUEST	56		Get all video games	1586359649058	1586359649063	OK	 
REQUEST	48		Get specific game	1586359649068	1586359649072	OK	 
REQUEST	40		Get all video games	1586359649089	1586359649093	OK	 
REQUEST	23		Get all video games	1586359649089	1586359649093	OK	 
REQUEST	40		Get all video games	1586359649094	1586359649097	OK	 
REQUEST	23		Get all video games	1586359649094	1586359649099	OK	 
REQUEST	31		Get specific game	1586359649093	1586359649099	OK	 
REQUEST	15		Get specific game	1586359649104	1586359649108	OK	 
USER	Fixed Duration Load Simulation	57	START	1586359649544	1586359649544
